Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Close_Price;Close_Price_Currency;New_Shares;New_Float;New_CapFactor;New_WeightFactor;New_Mcap_Units;Weights;Index_Membership_Previous;New_Index_Membership;Changes
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;PA020;AU000000WHC8;B1XQXC4;WHC.AX;Whitehaven Coal Ltd.;AU;AUD;Australian Securities Exchange;60;6010;601010;60101040;3.207783;EUR;;;1;2767438;8877341;.88773;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;576162;DE000KSAG888;B54C017;SDFGn.DE;K + S;DE;EUR;Deutsche Boerse;55;5520;552010;55201015;13.24;EUR;;;1;667655;8839752;.88398;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;CAG;US2058871029;2215460;CAG.N;Conagra Brands Inc.;US;USD;NYSE;45;4510;451020;45102020;23.7704938;EUR;;;1;366721;8717139;.87171;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;506506;SE0005190238;B97C733;TEL2b.ST;TELE2 B;SE;SEK;NASDAQ  Stockholm AB;15;1510;151020;15102015;11.6609679;EUR;;;1;737446;8599334;.85993;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;431536;ES0130670112;5271782;ELE.MC;ENDESA;ES;EUR;Bolsa de Madrid;65;6510;651010;65101015;22.04;EUR;;;1;389601;8586806;.85868;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;RCI.B;CA7751092007;2169051;RCIb.TO;Rogers Communications Inc. Cl;CA;CAD;Toronto Stock Exchange;15;1510;151020;15102015;25.7195866;EUR;;;1;329751;8481059;.84811;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;TDpD;CA8911605092;2897222;TD.TO;Toronto-Dominion Bank;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;53.2621233;EUR;;;1;155075;8259624;.82596;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;POW;CA7392391016;2697701;POW.TO;Power Corp. of Canada;CA;CAD;Toronto Stock Exchange;30;3030;303010;30301010;30.8238468;EUR;;;1;253305;7807835;.78078;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;401632;DE0008404005;5231485;ALVG.DE;ALLIANZ;DE;EUR;Deutsche Boerse;30;3030;303020;30302010;348.4;EUR;;;1;22383;7798237;.77982;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;TROW;US74144T1088;2702337;TROW.OQ;T. Rowe Price Group Inc.;US;USD;NASDAQ;30;3020;302020;30202010;84.7669992;EUR;;;1;90146;7641406;.76414;;Y;Addition
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;217052;CA1360691010;2170525;CM.TO;Canadian Imperial Bank of Comm;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;50.8571085;EUR;;;1;148272;7540685;.75407;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;BMO;CA0636711016;2076009;BMO.TO;Bank of Montreal;CA;CAD;Toronto Stock Exchange;30;3010;301010;30101010;87.6423218;EUR;;;1;82071;7192893;.71929;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;442048;CH0012214059;7110753;HOLN.S;Holcim;CH;CHF;SIX Swiss Exchange;50;5010;501010;50101030;101.6808158;EUR;;;1;70288;7146941;.71469;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;256612;CA8667961053;2566124;SLF.TO;Sun Life Financial Inc.;CA;CAD;Toronto Stock Exchange;30;3030;303010;30301010;50.1343248;EUR;;;1;139389;6988173;.69882;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;499187;CH0011075394;5983816;ZURN.S;ZURICH INSURANCE GROUP;CH;CHF;SIX Swiss Exchange;30;3030;303020;30302010;626.5286706;EUR;;;1;11117;6965119;.69651;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;CHV;US1667641005;2838555;CVX.N;Chevron Corp.;US;USD;NYSE;60;6010;601010;60101000;141.4717378;EUR;;;1;48472;6857418;.68574;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;STB;US9029733048;2736035;USB.N;U.S. Bancorp;US;USD;NYSE;30;3010;301010;30101010;37.6865016;EUR;;;1;179944;6781460;.67815;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;670262;AU000000JBH7;6702623;JBH.AX;JB Hi-Fi Ltd.;AU;AUD;Australian Securities Exchange;40;4040;404010;40401030;50.3691412;EUR;;;1;133765;6737628;.67376;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;BBY;US0865161014;2094670;BBY.N;Best Buy Co. Inc.;US;USD;NYSE;40;4040;404010;40401030;64.744894;EUR;;;1;103809;6721103;.67211;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;UPC;US7591EP1005;B01R311;RF.N;Regions Financial Corp.;US;USD;NYSE;30;3010;301010;30101010;19.1932232;EUR;;;1;349452;6707110;.67071;Y;Y;
