STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
;;HK0002007356;20240318;1284555;1
;;ES0130670112;20240318;592397;1
;;IT0003153415;20240318;2226945;1
;;US7170811035;20240318;372833;1
;;AU000000JBH7;20240318;257361;1
;;SG1M77906915;20240318;5128603;1
;;AU000000HVN7;20240318;3105191;1
;;JP3726800000;20240318;365541;1
;;CA1360691010;20240318;192044;1
;;DE0008404005;20240318;32232;1
;;AU000000SUN6;20240318;885567;1
;;CH0012214059;20240318;102957;1
;;NZCENE0001S6;20240318;1058549;1
;;US25179M1036;20240318;188997;1
;;US4932671088;20240318;606137;1
;;CA7392391016;20240318;303419;1
;;DK0010244425;20240318;6680;1
;;CA56501R1064;20240318;351222;1
;;US1746101054;20240318;249375;1
;;CA0636711016;20240318;88759;1
;;JP3768600003;20240318;663660;1
;;CA8911605092;20240318;139603;1
;;CH0011075394;20240318;14893;1
;;US4601461035;20240318;230257;1
;;US2058871029;20240318;283199;1
;;US7591EP1005;20240318;416213;1
;;JP3381000003;20240318;327818;1
;;NL0009434992;20240318;79514;1
;;JP3386030005;20240318;469742;1
;;US7237871071;20240318;30430;1
;;US3453708600;20240318;613711;1
;;US25278X1090;20240318;38428;1
;;CA8667961053;20240318;133004;1
;;JP3362700001;20240318;224117;1
;;US9029733048;20240318;170190;1
;;US4461501045;20240318;554906;1
;;US0865161014;20240318;92316;1
;;US26441C2044;20240318;74622;1
;;CA7800871021;20240318;71370;1
;;US29364G1031;20240318;68331;1
;;CA6330671034;20240318;84573;1
;;US3755581036;20240318;91577;1
;;US8425871071;20240318;94939;1
;;US3167731005;20240318;176957;1
;;US20825C1045;20240318;52023;1
;;US40434L1052;20240318;201067;1
;;US2091151041;20240318;66838;1
;;US31620R3030;20240318;116549;1
;;US8168511090;20240318;78569;1
;;US4592001014;20240318;28832;1
;;CA7751092007;20240318;127041;1
;;US74251V1026;20240318;64713;1
;;US1270971039;20240318;196682;1
;;US0311621009;20240318;19021;1
;;US7185461040;20240318;31190;1
